# started on Mon Feb  5 18:38:32 2024


 Performance counter stats for 'system wide':

                 3      syscalls:sys_enter_pipe                                     
                15      syscalls:sys_enter_pipe2                                    
                 0      syscalls:sys_enter_pivot_root                                   
                 0      syscalls:sys_enter_pkey_alloc                                   
                 0      syscalls:sys_enter_pkey_free                                   
                 0      syscalls:sys_enter_pkey_mprotect                                   
                54      syscalls:sys_enter_poll                                     
                82      syscalls:sys_enter_ppoll                                    
                54      syscalls:sys_enter_prctl                                    
                41      syscalls:sys_enter_pread64                                   
                 0      syscalls:sys_enter_preadv                                   
                 0      syscalls:sys_enter_preadv2                                   
                 0      syscalls:sys_enter_prlimit64                                   
                 0      syscalls:sys_enter_process_madvise                                   
                 0      syscalls:sys_enter_process_mrelease                                   
                 0      syscalls:sys_enter_process_vm_readv                                   
                 0      syscalls:sys_enter_process_vm_writev                                   
                 0      syscalls:sys_enter_pselect6                                   
                 0      syscalls:sys_enter_ptrace                                   
                 0      syscalls:sys_enter_pwrite64                                   
                 0      syscalls:sys_enter_pwritev                                   
                 0      syscalls:sys_enter_pwritev2                                   
                 0      syscalls:sys_enter_quotactl                                   
                 0      syscalls:sys_enter_quotactl_fd                                   
               876      syscalls:sys_enter_read                                     
                 0      syscalls:sys_enter_readahead                                   
                22      syscalls:sys_enter_readlink                                   
                21      syscalls:sys_enter_readlinkat                                   
                 0      syscalls:sys_enter_readv                                    
                 0      syscalls:sys_enter_reboot                                   
                 3      syscalls:sys_enter_recvfrom                                   
                 0      syscalls:sys_enter_recvmmsg                                   
                92      syscalls:sys_enter_recvmsg                                   
                 0      syscalls:sys_enter_remap_file_pages                                   
                 0      syscalls:sys_enter_removexattr                                   
                 0      syscalls:sys_enter_rename                                   
                 5      syscalls:sys_enter_renameat                                   
                 0      syscalls:sys_enter_renameat2                                   
                 0      syscalls:sys_enter_request_key                                   
                 0      syscalls:sys_enter_restart_syscall                                   
                 0      syscalls:sys_enter_rmdir                                    
                 0      syscalls:sys_enter_rseq                                     
             1,045      syscalls:sys_enter_rt_sigaction                                   
                 0      syscalls:sys_enter_rt_sigpending                                   
               232      syscalls:sys_enter_rt_sigprocmask                                   
                 0      syscalls:sys_enter_rt_sigqueueinfo                                   
                48      syscalls:sys_enter_rt_sigreturn                                   
                 0      syscalls:sys_enter_rt_sigsuspend                                   
                 0      syscalls:sys_enter_rt_sigtimedwait                                   
                 0      syscalls:sys_enter_rt_tgsigqueueinfo                                   
                 0      syscalls:sys_enter_sched_get_priority_max                                   
                 0      syscalls:sys_enter_sched_get_priority_min                                   
                 5      syscalls:sys_enter_sched_getaffinity                                   
                 0      syscalls:sys_enter_sched_getattr                                   
                 0      syscalls:sys_enter_sched_getparam                                   
                 0      syscalls:sys_enter_sched_getscheduler                                   
                 0      syscalls:sys_enter_sched_rr_get_interval                                   
                 0      syscalls:sys_enter_sched_setaffinity                                   
                 0      syscalls:sys_enter_sched_setattr                                   
                 0      syscalls:sys_enter_sched_setparam                                   
                 0      syscalls:sys_enter_sched_setscheduler                                   
                 9      syscalls:sys_enter_sched_yield                                   
                 0      syscalls:sys_enter_seccomp                                   
                78      syscalls:sys_enter_select                                   
                 0      syscalls:sys_enter_semctl                                   
                 0      syscalls:sys_enter_semget                                   
                 0      syscalls:sys_enter_semop                                    
                 0      syscalls:sys_enter_semtimedop                                   
                 0      syscalls:sys_enter_sendfile64                                   
                 0      syscalls:sys_enter_sendmmsg                                   
                16      syscalls:sys_enter_sendmsg                                   
                10      syscalls:sys_enter_sendto                                   
                 0      syscalls:sys_enter_set_mempolicy                                   
                 0      syscalls:sys_enter_set_mempolicy_home_node                                   
               100      syscalls:sys_enter_set_robust_list                                   
                 7      syscalls:sys_enter_set_tid_address                                   
                 0      syscalls:sys_enter_setdomainname                                   
                 0      syscalls:sys_enter_setfsgid                                   
                 0      syscalls:sys_enter_setfsuid                                   
                 2      syscalls:sys_enter_setgid                                   

      70.061032779 seconds time elapsed

