# started on Thu Feb  1 23:17:48 2024


 Performance counter stats for 'system wide':

                 0      tx-conflict                                                 
                 0      tx-start                                                    
              0.00 MiB  uncore_iio_free_running_0/bw_in_port0/                                   
              0.18 MiB  uncore_iio_free_running_0/bw_in_port1/                                   
              0.00 MiB  uncore_iio_free_running_0/bw_in_port2/                                   
              0.00 MiB  uncore_iio_free_running_0/bw_in_port3/                                   
              0.00 MiB  uncore_iio_free_running_0/bw_out_port0/                                   
              0.56 MiB  uncore_iio_free_running_0/bw_out_port1/                                   
              0.00 MiB  uncore_iio_free_running_0/bw_out_port2/                                   
              0.00 MiB  uncore_iio_free_running_0/bw_out_port3/                                   
    34,805,910,969      uncore_iio_free_running_0/ioclk/                                   
        11,914,322      uncore_iio_free_running_0/util_in_port0/                                   
    34,805,884,336      uncore_iio_free_running_0/util_in_port1/                                   
    34,805,869,452      uncore_iio_free_running_0/util_in_port2/                                   
    34,805,855,416      uncore_iio_free_running_0/util_in_port3/                                   
        99,183,164      uncore_iio_free_running_0/util_out_port0/                                   
    34,805,825,765      uncore_iio_free_running_0/util_out_port1/                                   
    34,805,807,593      uncore_iio_free_running_0/util_out_port2/                                   
    34,805,797,088      uncore_iio_free_running_0/util_out_port3/                                   
              0.00 MiB  uncore_iio_free_running_1/bw_in_port0/                                   
              0.00 MiB  uncore_iio_free_running_1/bw_in_port1/                                   
              0.12 MiB  uncore_iio_free_running_1/bw_in_port2/                                   
              0.00 MiB  uncore_iio_free_running_1/bw_in_port3/                                   
              1.80 MiB  uncore_iio_free_running_1/bw_out_port0/                                   
              0.00 MiB  uncore_iio_free_running_1/bw_out_port1/                                   
              0.04 MiB  uncore_iio_free_running_1/bw_out_port2/                                   
              0.00 MiB  uncore_iio_free_running_1/bw_out_port3/                                   
    34,805,823,449      uncore_iio_free_running_1/ioclk/                                   
         6,778,480      uncore_iio_free_running_1/util_in_port0/                                   
         6,778,474      uncore_iio_free_running_1/util_in_port1/                                   
        20,266,000      uncore_iio_free_running_1/util_in_port2/                                   
        19,540,873      uncore_iio_free_running_1/util_in_port3/                                   
        39,756,561      uncore_iio_free_running_1/util_out_port0/                                   
        39,637,130      uncore_iio_free_running_1/util_out_port1/                                   
        78,436,364      uncore_iio_free_running_1/util_out_port2/                                   
        78,436,306      uncore_iio_free_running_1/util_out_port3/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_in_port0/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_in_port1/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_in_port2/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_in_port3/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_out_port0/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_out_port1/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_out_port2/                                   
              0.00 MiB  uncore_iio_free_running_2/bw_out_port3/                                   
    34,805,550,415      uncore_iio_free_running_2/ioclk/                                   
    34,805,520,843      uncore_iio_free_running_2/util_in_port0/                                   
    34,805,491,468      uncore_iio_free_running_2/util_in_port1/                                   
    34,805,461,959      uncore_iio_free_running_2/util_in_port2/                                   
    34,805,432,559      uncore_iio_free_running_2/util_in_port3/                                   
    34,805,403,581      uncore_iio_free_running_2/util_out_port0/                                   
    34,805,372,140      uncore_iio_free_running_2/util_out_port1/                                   
    34,805,341,412      uncore_iio_free_running_2/util_out_port2/                                   
    34,805,312,935      uncore_iio_free_running_2/util_out_port3/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_in_port0/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_in_port1/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_in_port2/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_in_port3/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_out_port0/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_out_port1/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_out_port2/                                   
              0.00 MiB  uncore_iio_free_running_3/bw_out_port3/                                   
    34,805,091,533      uncore_iio_free_running_3/ioclk/                                   
    34,805,055,094      uncore_iio_free_running_3/util_in_port0/                                   
    34,805,017,991      uncore_iio_free_running_3/util_in_port1/                                   
    34,804,980,935      uncore_iio_free_running_3/util_in_port2/                                   
    34,804,942,713      uncore_iio_free_running_3/util_in_port3/                                   
    34,804,903,573      uncore_iio_free_running_3/util_out_port0/                                   
    34,804,866,080      uncore_iio_free_running_3/util_out_port1/                                   
    34,804,827,486      uncore_iio_free_running_3/util_out_port2/                                   
    34,804,789,110      uncore_iio_free_running_3/util_out_port3/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_in_port0/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_in_port1/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_in_port2/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_in_port3/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_out_port0/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_out_port1/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_out_port2/                                   
              0.00 MiB  uncore_iio_free_running_4/bw_out_port3/                                   
                 0      uncore_iio_free_running_4/ioclk/                                   
                 0      uncore_iio_free_running_4/util_in_port0/                                   

      69.782208751 seconds time elapsed

